"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 29일","31.45","31.45","31.45","31.45","0.01K","1.94%"
"2020년 06월 26일","30.85","30.85","30.85","30.85","0.00K","-0.16%"
"2020년 06월 25일","30.90","30.65","30.90","30.65","0.01K","6.55%"
"2020년 06월 24일","29.00","29.60","29.60","29.00","0.00K","-8.37%"
"2020년 06월 23일","31.65","31.20","31.65","31.20","0.01K","-1.09%"
"2020년 06월 22일","32.00","32.00","32.00","32.00","0.00K","-6.02%"
"2020년 06월 19일","34.05","34.05","34.05","34.05","-","4.77%"
"2020년 06월 18일","32.50","32.50","32.50","32.50","0.00K","-12.28%"
"2020년 06월 17일","37.05","37.05","37.05","37.05","-","3.20%"
"2020년 06월 16일","35.90","35.90","35.90","35.90","-","16.75%"
"2020년 06월 15일","30.75","29.80","30.75","29.80","0.01K","6.22%"
"2020년 06월 12일","28.95","28.95","28.95","28.95","0.00K","20.12%"
"2020년 06월 11일","24.10","24.20","24.20","23.90","0.03K","1.26%"
"2020년 06월 10일","23.80","24.25","24.25","23.80","0.04K","-8.46%"
"2020년 06월 09일","26.00","26.00","26.00","26.00","-","0.00%"
"2020년 06월 08일","26.00","26.00","26.00","26.00","0.00K","2.16%"
"2020년 06월 05일","25.45","25.45","25.45","25.45","-","4.52%"
"2020년 06월 04일","24.35","24.35","24.35","24.35","0.01K","-1.42%"
"2020년 06월 03일","24.70","23.95","24.70","23.95","0.03K","2.92%"
"2020년 06월 02일","24.00","24.00","24.00","24.00","0.00K","0.84%"
"2020년 06월 01일","23.80","23.80","23.80","23.80","0.00K","-1.45%"
"2020년 05월 29일","24.15","24.20","24.20","24.15","0.00K","0.00%"
"2020년 05월 28일","24.15","23.55","24.15","23.55","0.00K","2.77%"
"2020년 05월 27일","23.50","23.50","23.50","23.50","0.00K","0.64%"
"2020년 05월 26일","23.35","23.35","23.35","23.35","0.01K","-7.52%"
"2020년 05월 25일","25.25","25.25","25.25","25.25","-","-2.32%"
"2020년 05월 22일","25.85","24.35","25.85","23.95","0.03K","13.13%"
